name,coordinate,information,region,writter,painting,potery,royal,impressionist,furniture,religion,buda,shamanism,Christianus,korea,hindu,egyptian,natural history,fossil,dinosaur,animal,mineral
Olivie Trees,"(0.58606,9.3,1.5)","Vincent van Gogh painted at least 15 paintings of olive trees, mostly in Saint-Rémy-de-Provence in 1889. At his own request, he lived at an asylum there from May 1889 through May 1890 painting the gardens of the asylum and, when he had permission to venture outside its walls, nearby olive trees, cypresses and wheat fields.One painting, Olive Trees in a Mountainous Landscape, was a complement to The Starry Night.The olive tree paintings had special significance for van Gogh. A group in May 1889 represented life, the divine and the cycle of life while those from November 1889 arose out of his attempt to symbolize his feelings about Christ in Gethsemane. His paintings of olive pickers demonstrate the relationship between man and nature by depicting one of the cycles of life, harvesting or death. They also convey an example of how individuals, through communion with nature, can connect with the divine.Van Gogh found respite and relief in interaction with nature. When the series of olive tree paintings was made in 1889 he was subject to illness and emotional turmoil, yet the paintings are considered to be among his finest works.",west,Vincent Van Gogh,1,,,1,,,,,,,,,,,,,
Mona Lisa,"(19.1962,24.94585,2.36763)","The Mona Lisa or Monna Lisa French: la Joconde is a half-length portrait painting by Italian artist Leonardo da Vinci. Considered an archetypal masterpiece of the Italian Renaissance,it has been described as ""the best known, the most visited, the most written about, the most sung about,the most parodied work of art in the world.The painting's novel qualities include the subject's enigmatic expression,monumentality of the composition, the subtle modelling of forms, and the atmospheric illusionism.
The painting has been traditionally considered to depict the Italian noblewoman Lisa del Giocondo.It is painted in oil on a white poplar panel.Leonardo never gave the painting to the Giocondo family.It was believed to have been painted between 1503 and 1506; however, Leonardo may have continued working on it as late as 1517. King Francis I of France acquired the Mona Lisa after Leonardo's death in 1519, and it is now the property of the French Republic. It has normally been on display at the Louvre in Paris since 1797.
The painting's global fame and popularity partly stem from its 1911 theft by Vincenzo Peruggia, who attributed his actions to Italian patriotism—a belief it should belong to Italy. The theft and subsequent recovery in 1914 generated unprecedented publicity for an art theft, and led to the publication of many cultural depictions such as the 1915 opera Mona Lisa, two early 1930s films (The Theft of the Mona Lisa and Arsène Lupin), and the song ""Mona Lisa"" recorded by Nat King Cole—one of the most successful songs of the 1950s.
The Mona Lisa is one of the most valuable paintings in the world. It holds the Guinness World Record for the highest known painting insurance valuation in history at US$100 million in 1962,equivalent to $1 billion as of 2023.",west,Leonardo di ser Piero da Vinci,1,,,,,,,,1,,,,,,,,
Vesperbild (Pietà),"(22.0,0.0,-0.0)","Depicting the Virgin cradling Christ’s dead body, works like this one were known in German as vesperbilds, owing to their incorporation into the liturgy of the evening prayer (vespers) on Good Friday. The word pietà—from the Latin pietas, meaning ""piety"" or ""compassion""—was also used to describe such works. Like other devotional image types that emerged in southern Germany in the later medieval period, vesperbilds encouraged viewers to contemplate Christ’s suffering and empathize with the Virgin’s sorrows more directly and emotively than ever before. This anonymous German artist is named after one of his most important works, the high altar of the church of Rabenden in the Chiemgau, the foothills of the Alps. The sculpture was likely placed in a secondary chapel in a Bavarian church.",west,,,,,,,1,,1,,,,,,,,,
Nursing Woman with Child,"(-18.0,-24.0,1.0)","Beyond its specific depiction of a mother nursing her child, this sculpture symbolizes a larger concept of ancestral motherhood that is central to Senufo society, in which cultural inheritance is matrilineal. The darkened areas of wood come from oils applied to its surface as both libations and surface protectants. In some Senufo beliefs, one of the most important founding ancestors is the Great Mother or Ancient Woman (Katyeleeo or Maleeo). In groups that believe in the Great Mother, she suckles male initiates with the ""milk of knowledge."" Through this process, youths gain the information they need to become adults (that is, fully human). The simplified appearance of the ""child"" in this sculpture reflects his unformed, pre-initiated state.

",west,,,,,,,,,,,,,,,,,,
Jar with Dragon Design,"(-24.0,-11.83088,0.93)","A mythical creature believed to have the power to make rain, the dragon is a prominent symbol of rulers in premodern East Asia. In underglaze cobalt blue, a dragon on this jar is depicted flying through clouds to catch a flaming, wish-granting pearl called a cintamani. In the royal court, the shorter type of dragon jar was used to hold wine, the tall type, such as this one, was for holding a bouquet of flowers.",east,,,1,,,,,,,,1,,,,,,,
"Nataraja, Shiva as the Lord of Dance","(-7.0,-25.5,1.61214)","One of the most celebrated sculptural forms in the history of Indian art, this elegant and dynamic figure embodies some of Hinduism’s most fundamental tenets. According to Hindu thought, time is cyclical; the world is created, maintained, preserved for a time, then destroyed, only to be created again an infinite number of times. For those Hindus who view Shiva to be the all-powerful creator divinity, he is responsible for both creation and destruction. The ring of fire and the tongue of flame he holds in his left hand refer to destruction, and the drum in his raised right hand refers to the relentless beat of time as it moves inevitably forward. His lower right hand, held up with the palm facing out, signals to his devotees not to be afraid of the impending destruction; they can be liberated from the cycles of birth and death through devotion to him, which he indicates by pointing to his upraised foot. With every step in his dance, he lands on a dwarfish figure personifying ignorance.",east,,,,,,,1,,,,,1,,,,,,
Ganesha,"(-12.0,-24.0,1.6)","Ganesha, the god of wealth and abundance, is an auspicious and revered Hindu deity. He removes obstacles and protects his worshipers. Numerous myths explain how Ganesha became an elephant-man composite, but the most popular version relates the story of how he was decapitated by his enraged father, Shiva, and restored to life through the intervention of his mother, Parvati. Shiva agreed to revive him with the head of the first creature encountered: an elephant. Ganesha's strength—his profound spiritual wisdom—contrasts with his weakness for sweets, as indicated by his pudginess and the sweet modaka he carries. In Ganesha, opposing forces exist in perfect harmony.",east,,,,,,,1,,,,,1,,,,,,
Black-Figure Neck-Amphora (Storage Vessel),"(-24.0,-21.78904,1.56)","The neck-amphora, one of the most popular vase shapes in Archaic Athens, provided painters with ample space for both figural and ornamental decoration. Herakles, the greatest of Greek heroes, performs his most famous deed on the obverse, wrestling the Nemean lion. His patron goddess Athena, together with his nephew Iolaos, holding the hero’s club, stand by. On the other side is an unrelated scene, showing the wine god Dionysos with dancing maenads and satyrs. Abundant ornament covers other areas: stylized lotus blossom and palmette chains on the neck; intricately linked palmettes and lotuses beneath each handle; and a key pattern, linked lotus buds, and rays on the lower body.

",west,,,1,,,,,,,,,,,,,,,
Red-Figure Janiform Kantharos (Two-Sided Head-Shaped Drinking Cup): Satyr and African,"(-24.0,-17.82302,1.0)","Combining two mold-made faces beneath a pair of vertical handles and a flaring, wheel-made lip, this unusual drinking cup is a variation of the kantharos, a vessel favored by the wine god Dionysos. A snub nose and equine ears identify the satyr, a relatively common type on such vessels. The glossy black face and red hair on the other side are more unusual, apparently meant to show an older African man, with white beard and eyebrows, and wrinkles around the eyes.",west,,,1,,,,,,,,,,,,,,,
Canopic Jar with Falcon's Head,"(-24,0,8.3,0.85)","In the process of mummification, the liver, lungs, stomach, and intestines were removed, separately embalmed, and stored in specialized jars known as canopic jars (after a sailor in Greek mythology, who died at the town of Canopus in the Nile Delta and was worshipped there in the form of a human-headed jar). Each organ was identified with one of four funerary deities collectively known as the Sons of Horus: the liver with Imsety (man's head), the lungs with Hapy (baboon's head), the stomach with Duamutef (jackal's head), and the intestines with Qebehsenuef (falcon's head). It was their duty to protect the deceased and restore to him his body parts in the hereafter.",west,,,1,,,,,,,,,,1,,,,,
Dish with Maple Leaves in Waves,"(-23.91045,-23.39191,1.75024)","The dish is an example of the finest type of Japanese porcelain, Nabeshima-type Hizen ware. It is decorated with maple leaves in iron-red and green and yellow enamels floating on the rough waters of a fast flowing stream in underglaze blue. It has been associated with the classical poetry motif of maple leaves on the Tatsuta River in Nara Prefecture.",east,,,1,,,,,,,,,,,,,,,
Standing Bodhisattva,"(11.97911,-23.89363,1.26524)","This work demonstrates the enduring presence of Buddhism and its religious practice during the Joseon dynasty (1392–1910) even after Neo-Confucianism, a revised form of Confucianism that emphasized self-cultivation as a path to the formation of a harmonious society and state, became the state religion. Because of its missing crown, it is hard to identify what Buddhist deity this statue represents. But there is no doubt it still can be attributed to a bodhisattva (meaning “enlightened being”) for its iconographic attributes: elaborate jewelry and a lock of long hair.",east,,,,,,,,1,,,,,,,,,,
Protoceratops andrewsi,"(19.0,0.5,-0.0)",Protoceratops (Protoceratops andrewsi) skeleton. Protoceratops andrewsi was a horned dinosaur (Ceratopsia) the same group to which the Triceratops also belongs. Protoceratops lived in late Cretaceous (75 - 71 millions years ago) in Asia.,east,,,,,,,,,,,,,,1,1,1,,
S. stout-legged Moa,"(-4.10287,6.15264,1.0)","stout-legged moa (Euryapteryx curtus gravis) skeleton from the Holocene. Moas are extinct birds that lived on New Zealand. This skeleton was donated to the museum by Dr. Julius Ritter von Haast in 1884.

This specific skeleton is housed backstage, but complete skeletons of both a southern giant moa (Dinornis robustus, formally called Dinornis maximus) and another stout-legged moa are number 77 of the NHM Top 100 and can be found in Hall 30 of the NHM Vienna. Three more skeletons of different moa species are on display in the Ice Age (Eiszeit) corridor.",west,,,,,,,,,,,,,,1,1,,1,
Malachite,"(-12.0,24.0,1.3776)",Malachite from Siberia that is part of the extensive collection of minerals from the estate of the merchant Jakob Friedrich van der Nüll (1750-1823) acquired by the then Imperial and Royal Court Natural History Cabinet (today’s NHMW) in 1827.,west,,,,,,,,,,,,,,1,,,,1
Krasnojarsk meteorite ,"(-6.0,24.0,1.4)",rasnojarsk meteorite found in 1749 in Russia from the extensive collection of minerals from the estate of the merchant Jakob Friedrich van der Nüll (1750-1823) acquired by the then Imperial and Royal Court Natural History Cabinet (today’s NHMW) in 1827. It has a size of 9 × 7 × 4.6 cm.,west,,,,,,,,,,,,,,1,,,,1
Psittacosaurus mongoliensis,"(-9.64405,6.10854,1.71562)","Psittacosaurus (Psittacosaurus monoliensis) skeleton. Psittacosaurus mongoliensis was a horned dinosaur (Ceratopsia), the same group which the Triceratops also belongs. Psittacosaurus lived in the early Cretaceous (125-105 millions of years ago) in Asia.

The skeleton was found in Mongolia and bought by the NHMW in 1998.",east,,,,,,,,,,,,,,1,1,1,,
Lapis,"(-18.0,24.0,1.3)","Lapis lazuli from the former USSR that is part of the extensive collection of minerals from the estate of the merchant Jakob Friedrich van der Nüll (1750-1823) acquired by the then Imperial and Royal Court Natural History Cabinet (today’s NHMW) in 1827.

This object is on display in Hall 4 of the NHMW.",west,,,,,,,,,,,,,,1,,,,1
Striding Statue of Minnefer,"(-24.35167,23.74966,1.0)","The base of this statue is inscribed with the name and title of the supervisor of palace attendants, Minnefer. He is represented as young and athletic, hands at his sides and left foot forward, the typical striding pose for male figures. To make the statue more lifelike, the flesh areas were originally painted reddish brown, the wig black, and the kilt white. This was one of four statues of Minnefer that were found in the serdab (sealed statue chamber) of his ruined mastaba (tomb) in the cemetery west of the Great Pyramid at Giza. Most Old Kingdom private statues were concealed in this way. The statue was regarded as more than just a representation. Once the proper rites had been performed, it functioned as a substitute for the deceased individual and could partake of food offerings necessary for the survival of his ka, or vital spirit.",west,,,,1,,,,,,,,,1,,,,,
Granite head of Amenemhat III,"(1.48692,-9.15579,0.02604)","The city of Bubastis was well known in Greek times; it is described by the Greek historian Herodotus (about 485-425 BC). The city was the centre of the cult of the cat goddess Bastet, and the residence of the kings of the Twenty-second Dynasty (about 945-715 BC), the so-called 'Libyan' rulers. However, the remains in the British Museum suggest that its history stretches back much farther, although there is a slight possibility that some monuments were moved to Bubastis by later rulers, as happened at Tanis.This head comes from one of two large seated statues of Amenemhat III (1854-1808 BC) that flanked the entrance to the temple at Bubastis. Fragments of the lower part of this statue are also in the British Museum, while the head of the second statue is now in the Cairo Museum. Temples were often flanked by pairs of colossal statues, the best example being the so-called Colossi of Memnon at the entrance to the Temple of Amenhotep III (1390-1352 BC).The names of the original owners of the statues have been replaced by others, the last of which was Osorkon II (about 874-850 BC) of the Twenty-second Dynasty.",west,,,,1,,,,,,,,,1,,,,,
Gyeongbokgung_Geunjeongjeon_Throne Chair,"(1.48692,-9.15579,0.02604)","hrone Chair It is one of the props reproduced in Geunjeongjeon Hall of Gyeongbokgung Palace. The chair placed in the center of the interior is Throne, the king’s chair. Behind the throne is a folding screen depicting the sun and moon, five peaks, pine trees, waterfalls, and waves. This folding screen symbolizes the place where the king is. Geunjeongjeon Hall Geunjeongjeon Hall, a powerhouse in Gyeongbokgung Palace In the realm, the tide is celebrated of a country that greets a foreign death. A significant ceremony was held.",east,,,,1,,1,,,,,1,,,,,,,
Geunjeongjeon_Royalseal,"(23.59361,-20.66181,1.0)","Royalseal It is one of the props reproduced in Geunjeongjeon Hall of Gyeongbokgung Palace. It symbolizes the authority and legitimacy of the dynasty. It was used in diplomatic and domestic documents conducted under the royal name, and was delivered as a sign when inheriting the throne.Geunjeongjeon Hall Geunjeongjeon Hall, a powerhouse in Gyeongbokgung Palace In the realm, the tide is celebrated of a country that greets a foreign death A significant ceremony was held.",east,,,,1,,,,,,,1,,,,,,,
Landscape,"(23.5,-13.0,1.5)","A mountain scenery surrounded by water and fish is meticulously carved out of soapstone, with a pond, bridge, waterfall, and temple front in its center. The unidentified figure scene on the left includes an ox and a man wearing what appears to be a Korean hat. A Buddha figure hidden in the depth of the temple can be glimpsed from the backside. The inscribed pillar on the right reads “Stonegate Cave to Heaven (shimen dongtian)”. Indentations all over the stone suggest that the miniature mountain was once adorned with precious stones and metal, presumably representing an earthly paradise to which one could escape in one’s mind and imagination",east,,,,1,,,,,,,1,,,,,,,
Sun Bodhisattva,"(17.9005,-23.94501,0.87573)","Bodhisattvas are beings who have attained enlightenment but delay entry into Buddhahood until they have fulfilled their varied vows to aid others along the path to enlightenment. The flowing robes and curving posture of this figure were inspired by Chinese Buddhist sculpture. However, the interplay of the wood grain in this single block of yew with the artist’s subtle carving is a Japanese innovation. Originally paired with the Moon Bodhisattva (Gekkō Bosatsu), this figure likely flanked a sculpture of the Medicine Master Buddha (Yakushi Nyorai).",east,,,,,,,1,1,,,,,,,,,,
Bronze Ritual Bell,"(6.04761,-26.96703,1.00079)","This miniature bell was once used as part of Buddhist indoor rituals. Likely suspended in a Buddhist temple, it features a cast dragon and a vertical tube to amplify the sound on top, and is decorated with Buddhist figures seated on lotuses. The echoing sound of the bell was thought to help Buddhist believers understand the significance of transience and impermanence; the sound instantly fades away as soon as one hears it. This sensory experience creates a striking conceptual parallel with Buddhist teachings, including the idea that all things and beings exist merely in our perception or imagination. An inscription indicates it was cast in the year of the dragon and took three years to make.",east,,,,,,,1,1,,,,,,,,,,
Icon of the Mother of God and Infant Christ,"(-18.67904,-5.06399,1.6)","This large icon of a tender embrace between the Virgin Mary and Christ likely hung on a Greek Orthodox church’s iconostasis, a screen separating the congregation from the altar-containing sanctuary, which only clergy could enter. A skilled painter of faces and draperies, Angelos Akotantos was among Crete’s most sought-after artists. Based in Byzantium’s artistic center in his hometown of Candia, he painted for imperial clients and beyond. Despite theological differences, Cretan icons of Mary were popular in Ethiopia. In the early 1500s, Emperor Lebna Dengel sent monks Zekre and Pawli to acquire Cretan icons for him. Twenty-nine Cretan icons are still venerated (honored) in Ethiopian churches.",west,,,,,,,1,,,1,,,,,,,,
Ram Mask (Bolo),"(-4.14982,-5.55844,1.5)","Bolo masks are primarily danced for entertainment during communal occasions like funerals, male initiations, and harvest celebrations. Comprising both animal and human features, the mask––always worn by a male dancer––refers to the cultural significance of the ram, an animal associated with male aggression across sub-Saharan Africa.",west,,,,,,,1,,1,,,,,,,,,
Saint Andrew,"(-9.01638,-6.01508,1.0)","Apostle figures such as this were made in large numbers in the eastern Netherlands during the early 1500s. This figure of Saint Andrew, identified by his X-shaped cross, was undoubtedly a single figure from an apostle series. It may have been used above a choir stall in a church, or else part of an apostelbalk, a wooden beam with a figure of Christ at the center. These beams were mounted high above the interior of the church to separate the nave (used by lay people) from the sanctuary, accessible only to the clergy. The artist is named after a multicolored group of Saint Anne with the Virgin and Child, now in the Augustinuskerk in Elsloo, the Netherlands. The sculptor is probably Jan van Oel, who was working in and around Roermond in about 1500–1520. Most of the sculptures attributed to this master are in churches in Belgium and Dutch Limburg and in the neighboring German region.",west,,,,,,,1,,,1,,,,,,,,
Tea and Coffee Service,"(23.71805,19.90186,1.05606)","This tea and coffee service, salver, and table, together with some now missing cups, were all designed by Carlo Bugatti as an ensemble and presented at the 1902 exposition devoted to decorative arts in Turin, Italy. The set was probably acquired from Bugatti's 1907 exhibition at the Galerie Hébrard in Paris by a wealthy South African widow, Anna Blake, who was living there at the time. Some of the animal and insect motifs suggest mythical beasts or the fossils of prehistoric animals. When Mrs. Blake returned to Cape Town, she took these and other pieces designed by Bugatti with her, and they remained in South Africa throughout her lifetime.",west,,,,1,,,,,,,,,,,,,,
Portable Altar of Countess Gertrude,"(23.70777,14.92403,1.2)","Commissioned by Countess Gertrude of Brunswick, this portable altar is one of the Guelph Treasure’s earliest and most sumptuous objects. The choice of white-speckled porphyry as the altar stone signals Gertrude’s worldly aspirations; an imperial color since classical antiquity, porphyry was only used by the imperial family. Historical figures of royal and imperial rank are depicted with Christ, the Virgin, apostles, and archangels along the altar’s sides, stressing the countess’s political ambitions and claim of imperial lineage for her own dynasty. The Latin inscription surrounding the altar stone reads, ""Gertrude offers to Christ, to live joyfully in him, this stone that glistens with gems and gold.""",west,,,,1,,,,,,,,,,,,,,
Garniture Set (one clock and 2 vases),"(23.86836,10.17271,1.0)","The fascination with Chinese porcelain among aristocratic circles increased during the reign of Louis XV. In reaction to the perceived excesses of elaborate naturalistic ornament of the 1750s, mount makers increasingly turned to neoclassical designs, known as Goût Grec (Greek taste) in the 1760s and 1770s. These beautifully chased gilt-bronze mounts feature classical Greco-Roman motifs such as lion masks, acanthus and laurel leaves, and pilasters.",west,,,,1,,,,,,,,,,,,,,
Nautilus Cup,"(0,0,0)","Nautilus shells were brought to the Netherlands from Indonesia. Skilled Dutch silversmiths mounted them in silver, creating luxurious vessels that were sought after by wealthy collectors. Early Dutch nautilus cups are mainly associated with the city of Delft, although only a few other examples made in Delft are known from the late sixteenth and early seventeenth centuries. They feature the dramatic motif of a sea monster’s head.",west,,,,1,,,,,,,,,,,,,,
